{'it': 93, 'wall': 600.4, 'records': 789, 'policy_loss': 3.0897, 'value_loss': 0.0064, 'ep_len': 35.9, 'fresh_rows': 23775, 'hit_rows': 14049}
{'it': 94, 'wall': 606.3, 'records': 830, 'policy_loss': 2.9943, 'value_loss': 0.0032, 'ep_len': 29.6, 'fresh_rows': 21695, 'hit_rows': 13003}
{'it': 95, 'wall': 613.3, 'records': 776, 'policy_loss': 2.9373, 'value_loss': 0.0163, 'ep_len': 32.3, 'fresh_rows': 25116, 'hit_rows': 15670}
{'it': 96, 'wall': 619.5, 'records': 781, 'policy_loss': 3.0628, 'value_loss': 0.0058, 'ep_len': 31.2, 'fresh_rows': 22409, 'hit_rows': 13089}
{'it': 97, 'wall': 625.8, 'records': 772, 'policy_loss': 3.2773, 'value_loss': 0.0021, 'ep_len': 30.9, 'fresh_rows': 24039, 'hit_rows': 12660}
{'it': 98, 'wall': 632.3, 'records': 771, 'policy_loss': 3.106, 'value_loss': 0.0068, 'ep_len': 30.8, 'fresh_rows': 23547, 'hit_rows': 13852}
{'it': 99, 'wall': 638.4, 'records': 813, 'policy_loss': 3.1499, 'value_loss': 0.0029, 'ep_len': 31.3, 'fresh_rows': 23034, 'hit_rows': 12370}
{'it': 100, 'wall': 644.0, 'records': 772, 'policy_loss': 3.0619, 'value_loss': 0.0019, 'ep_len': 29.7, 'fresh_rows': 20559, 'hit_rows': 13204}
{'it': 101, 'wall': 651.5, 'records': 781, 'policy_loss': 2.9099, 'value_loss': 0.0017, 'ep_len': 28.9, 'fresh_rows': 23481, 'hit_rows': 15914}
{'it': 102, 'wall': 658.3, 'records': 771, 'policy_loss': 2.9099, 'value_loss': 0.0012, 'ep_len': 29.7, 'fresh_rows': 21567, 'hit_rows': 13681}
{'it': 103, 'wall': 664.9, 'records': 792, 'policy_loss': 3.0097, 'value_loss': 0.0023, 'ep_len': 31.7, 'fresh_rows': 21427, 'hit_rows': 13339}
{'it': 104, 'wall': 672.1, 'records': 824, 'policy_loss': 2.8222, 'value_loss': 0.0019, 'ep_len': 30.5, 'fresh_rows': 22995, 'hit_rows': 14283}
{'it': 105, 'wall': 678.1, 'records': 782, 'policy_loss': 2.9123, 'value_loss': 0.0025, 'ep_len': 29.0, 'fresh_rows': 21710, 'hit_rows': 14400}
{'it': 106, 'wall': 683.5, 'records': 768, 'policy_loss': 2.6969, 'value_loss': 0.0022, 'ep_len': 27.4, 'fresh_rows': 20336, 'hit_rows': 14130}
{'it': 107, 'wall': 689.6, 'records': 780, 'policy_loss': 2.8766, 'value_loss': 0.0018, 'ep_len': 30.0, 'fresh_rows': 21802, 'hit_rows': 14309}
{'it': 108, 'wall': 695.8, 'records': 794, 'policy_loss': 2.934, 'value_loss': 0.0021, 'ep_len': 30.5, 'fresh_rows': 22989, 'hit_rows': 14741}
{'it': 109, 'wall': 702.1, 'records': 793, 'policy_loss': 2.7861, 'value_loss': 0.0016, 'ep_len': 26.4, 'fresh_rows': 22233, 'hit_rows': 13516}
{'it': 110, 'wall': 708.8, 'records': 777, 'policy_loss': 2.6051, 'value_loss': 0.0021, 'ep_len': 28.8, 'fresh_rows': 21396, 'hit_rows': 15498}
{'it': 111, 'wall': 714.6, 'records': 791, 'policy_loss': 3.017, 'value_loss': 0.0439, 'ep_len': 30.4, 'fresh_rows': 21171, 'hit_rows': 13242}
{'it': 112, 'wall': 720.0, 'records': 776, 'policy_loss': 2.7175, 'value_loss': 0.0124, 'ep_len': 26.8, 'fresh_rows': 18662, 'hit_rows': 13145}
{'it': 113, 'wall': 726.4, 'records': 776, 'policy_loss': 2.5065, 'value_loss': 0.0169, 'ep_len': 24.2, 'fresh_rows': 19792, 'hit_rows': 15428}
